[23/11/2012 16:08:05] /goto pk modo
[23/11/2012 16:08:08] /a 3
[23/11/2012 16:17:58] /i 2160
[23/11/2012 16:17:58] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:17:59] /i 2160
[23/11/2012 16:18:00] /i 2160
[23/11/2012 16:18:00] /i 2160
[23/11/2012 16:18:00] /i 2160
[23/11/2012 16:18:00] /i 2160
[23/11/2012 16:18:00] /i 2160
[23/11/2012 16:18:00] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:01] /i 2160
[23/11/2012 16:18:02] /i 2160
[23/11/2012 16:18:02] /i 2160
[23/11/2012 16:18:02] /i 2160
[23/11/2012 16:18:02] /i 2160
[23/11/2012 16:18:02] /i 2160
[23/11/2012 16:18:03] /i 2160
[23/11/2012 16:18:03] /i 2160
[23/11/2012 16:18:03] /i 2160
[23/11/2012 16:18:03] /i 2160
[23/11/2012 16:18:03] /i 2160
[23/11/2012 16:18:03] /i 2160
[23/11/2012 16:18:04] /i 2160
[23/11/2012 16:18:04] /i 2160
[23/11/2012 16:18:04] /i 2160
[23/11/2012 16:18:04] /i 2160
[23/11/2012 16:18:04] /i 2160
[23/11/2012 16:18:04] /i 2160
[23/11/2012 16:18:05] /i 2160
[23/11/2012 16:18:05] /i 2160
[23/11/2012 16:18:05] /i 2160
[23/11/2012 16:18:05] /i 2160
[23/11/2012 16:18:05] /i 2160
[23/11/2012 16:18:05] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:06] /i 2160
[23/11/2012 16:18:07] /i 2160
[23/11/2012 16:18:07] /i 2160
[23/11/2012 16:18:07] /i 2160
[23/11/2012 16:18:08] /i 2160
[23/11/2012 16:18:08] /i 2160
[23/11/2012 16:18:08] /i 2160
[23/11/2012 16:18:08] /i 2160
[23/11/2012 16:18:09] /i 2160
[23/11/2012 16:18:09] /i 2160
[23/11/2012 16:18:09] /i 2160
[23/11/2012 16:18:10] /i 2160
[23/11/2012 16:18:10] /i 2160
[23/11/2012 16:18:10] /i 2160
[23/11/2012 16:18:11] /i 2160
[23/11/2012 16:18:11] /i 2160
[23/11/2012 16:18:11] /i 2160
[23/11/2012 16:18:11] /i 2160
[23/11/2012 16:18:11] /i 2160
[23/11/2012 16:18:11] /i 2160
[23/11/2012 16:18:12] /i 2160
[23/11/2012 16:18:12] /i 2160
[23/11/2012 16:18:12] /i 2160
[23/11/2012 16:18:12] /i 2160
[23/11/2012 16:18:12] /i 2160
[23/11/2012 16:18:12] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:13] /i 2160
[23/11/2012 16:18:14] /i 2160
[23/11/2012 16:18:14] /i 2160
[23/11/2012 16:18:14] /i 2160
[23/11/2012 16:18:14] /i 2160
[23/11/2012 16:18:14] /i 2160
[23/11/2012 16:18:14] /i 2160
[23/11/2012 16:18:15] /i 2160
[23/11/2012 16:18:15] /i 2160
[23/11/2012 16:18:15] /i 2160
[23/11/2012 16:18:15] /i 2160
[23/11/2012 16:18:15] /i 2160
[23/11/2012 16:18:15] /i 2160
[23/11/2012 16:18:16] /i 2160
[23/11/2012 16:18:16] /i 2160
[23/11/2012 16:18:16] /i 2160
[23/11/2012 16:18:16] /i 2160
[23/11/2012 16:18:16] /i 2160
[23/11/2012 16:18:17] /i 2160
[23/11/2012 16:18:17] /i 2160
[23/11/2012 16:18:17] /i 2160
[23/11/2012 16:18:17] /i 2160
[23/11/2012 16:18:18] /i 2160
[23/11/2012 16:18:18] /i 2160
[23/11/2012 16:18:18] /i 2160
[23/11/2012 16:18:18] /i 2160
[23/11/2012 16:18:18] /i 2160
[23/11/2012 16:18:18] /i 2160
[23/11/2012 16:18:19] /i 2160
[23/11/2012 16:18:19] /i 2160
[23/11/2012 16:18:19] /i 2160
[23/11/2012 16:18:19] /i 2160
[23/11/2012 16:18:19] /i 2160
[23/11/2012 16:18:19] /i 2160
[23/11/2012 16:18:20] /i 2160
[23/11/2012 16:18:20] /i 2160
[23/11/2012 16:18:20] /i 2160
[23/11/2012 16:18:20] /i 2160
[23/11/2012 16:18:20] /i 2160
[23/11/2012 16:18:20] /i 2160
[23/11/2012 16:18:21] /i 2160
[23/11/2012 16:18:21] /i 2160
[23/11/2012 16:18:21] /i 2160
[23/11/2012 16:18:21] /i 2160
[23/11/2012 16:18:21] /i 2160
[23/11/2012 16:18:22] /i 2160
[23/11/2012 16:18:22] /i 2160
[23/11/2012 16:18:22] /i 2160
[23/11/2012 16:18:22] /i 2160
[23/11/2012 16:18:22] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:23] /i 2160
[23/11/2012 16:18:24] /i 2160
[23/11/2012 16:18:24] /i 2160
[23/11/2012 16:18:24] /i 2160
[23/11/2012 16:18:24] /i 2160
[23/11/2012 16:18:24] /i 2160
[23/11/2012 16:18:24] /i 2160
[23/11/2012 16:18:25] /i 2160
[23/11/2012 16:18:25] /i 2160
[23/11/2012 16:18:25] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:01] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:02] /i 2160
[23/11/2012 16:19:03] /i 2160
[23/11/2012 16:19:03] /i 2160
[23/11/2012 16:19:03] /i 2160
[23/11/2012 16:19:03] /i 2160
[23/11/2012 16:19:03] /i 2160
[23/11/2012 16:19:03] /i 2160
[23/11/2012 16:19:04] /i 2160
[23/11/2012 16:19:04] /i 2160
[23/11/2012 16:19:04] /i 2160
[23/11/2012 16:19:04] /i 2160
[23/11/2012 16:19:04] /i 2160
[23/11/2012 16:19:04] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:05] /i 2160
[23/11/2012 16:19:06] /i 2160
[23/11/2012 16:19:06] /i 2160
[23/11/2012 16:19:06] /i 2160
[23/11/2012 16:19:06] /i 2160
[23/11/2012 16:19:06] /i 2160
[23/11/2012 16:19:07] /i 2160
[23/11/2012 16:19:07] /i 2160
[23/11/2012 16:19:07] /i 2160
[23/11/2012 16:19:07] /i 2160
[23/11/2012 16:19:07] /i 2160
[23/11/2012 16:19:11] /i 10518
[23/11/2012 16:19:11] /i 10518
[23/11/2012 16:19:12] /i 10518
[23/11/2012 16:19:13] /i 10518
[23/11/2012 16:19:14] /i 10518
[23/11/2012 16:19:15] /i 10518
[23/11/2012 16:19:17] /i 10518
[23/11/2012 16:19:18] /i 10518
[23/11/2012 16:21:18] /addskill Rusho'zin ,level,500
[23/11/2012 16:21:34] /addskill Coronel Maconheiro I,level,150
[23/11/2012 16:22:09] /addskill Pk Modo,level,140
[23/11/2012 16:22:26] /addskill Rusho'zin,level,100
[23/11/2012 16:22:58] /addskill Rusho'zin,magic level,1400
[23/11/2012 16:23:15] /addskill Rusho'zin,magic level,140
[23/11/2012 16:23:23] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:25] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:29] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:30] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:33] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:33] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:34] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:34] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:35] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:36] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:39] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:40] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:40] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:44] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:44] /addskill Rusho'zin,magic level,14
[23/11/2012 16:23:52] /addskill Rusho'zin,magic level,1
[23/11/2012 16:23:57] /addskill Rusho'zin,magic level,1
[23/11/2012 16:23:57] /addskill Rusho'zin,magic level,1
[23/11/2012 16:23:58] /addskill Rusho'zin,magic level,1
[23/11/2012 16:24:03] /addskill Rusho'zin,magic level,1
[23/11/2012 16:24:03] /addskill Rusho'zin,magic level,1
[23/11/2012 16:24:26] /addskill Pk Modo,magic level,1
[23/11/2012 16:24:28] /addskill Pk Modo,magic level,1
[23/11/2012 16:24:28] /addskill Pk Modo,magic level,1
[23/11/2012 16:24:29] /addskill Pk Modo,magic level,1
[23/11/2012 16:24:30] /addskill Pk Modo,magic level,1
[23/11/2012 16:24:43] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:43] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:44] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:44] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:45] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:45] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:46] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:46] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:47] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:47] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:48] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:49] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:49] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:50] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:51] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:51] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:52] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:53] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:54] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:54] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:55] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:55] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:57] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:57] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:58] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:24:59] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:00] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:00] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:01] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:01] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:03] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:04] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:05] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:05] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:06] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:06] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:07] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:08] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:09] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:11] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:25:11] /addskill Coronel Maconheiro I,magic level,1
[23/11/2012 16:27:36] /addskill Coronel Maconheiro I,level,151
[23/11/2012 16:28:11] /addskill Pk Modo ,level,100
[23/11/2012 16:28:23] /addskill Rusho'zin ,level,100
[23/11/2012 16:30:47] /reload actions
[23/11/2012 16:32:57] /clean
[23/11/2012 16:35:53] /reload actions
[23/11/2012 16:38:30] /reload actions
[23/11/2012 16:44:52] /a 50
[23/11/2012 16:44:56] /c choose
[23/11/2012 16:45:07] /i baiak cap
[23/11/2012 16:45:11] /i baiak cap
[23/11/2012 16:45:13] /i baiak cap
[23/11/2012 16:45:21] /i yalahar mask
[23/11/2012 16:45:25] /i yalahari mask
[23/11/2012 16:45:58] /i staff rox
[23/11/2012 16:46:13] /i soft boots
[23/11/2012 16:46:19] /i sooft boots
[23/11/2012 16:46:47] /a 10
[23/11/2012 16:46:48] /a 10
[23/11/2012 16:46:50] /a 10
[23/11/2012 16:47:03] /i pair of soft boots
[23/11/2012 16:47:09] /goto choose
[23/11/2012 16:47:17] /i blue legs
[23/11/2012 16:47:51] /a 3
[23/11/2012 16:47:52] /a 3
[23/11/2012 16:48:09] /m mage bomb
[23/11/2012 16:48:13] /m magebomb
[23/11/2012 16:48:15] /m magebomb
[23/11/2012 16:48:19] /m magebomb
[23/11/2012 16:48:22] /m magebomb
[23/11/2012 16:48:26] /m magebomb
[23/11/2012 16:48:26] /m magebomb
[23/11/2012 16:48:30] /m magebomb
[23/11/2012 16:48:31] /m magebomb
[23/11/2012 16:48:31] /m magebomb
[23/11/2012 16:48:38] /m magebomb
[23/11/2012 16:48:41] /m magebomb
[23/11/2012 16:48:44] /m magebomb
[23/11/2012 16:48:46] /m magebomb
[23/11/2012 16:48:48] /m magebomb
[23/11/2012 16:49:18] /t choose
[23/11/2012 16:49:21] /t choose
[23/11/2012 16:49:22] /t choose
[23/11/2012 16:49:22] /t choose
[23/11/2012 16:49:23] /t choose
[23/11/2012 16:49:23] /t choose
[23/11/2012 16:49:24] /t choose
[23/11/2012 16:49:24] /t choose
[23/11/2012 16:49:25] /t choose
[23/11/2012 16:49:25] /t choose
[23/11/2012 16:49:26] /t choose
[23/11/2012 16:49:33] /addskill Choose ,magic level,130
[23/11/2012 16:50:01] /addskill Choose ,magic level,10
[23/11/2012 16:50:16] /addskill Choose ,magic level,10
[23/11/2012 16:50:21] /addskill Choose ,magic level,10
[23/11/2012 16:51:37] /m magebomb
[23/11/2012 16:51:47] /t choose
[23/11/2012 16:52:14] /c rusho'zin
[23/11/2012 16:52:17] /c rusho'zin
[23/11/2012 16:52:24] /m magebomb
[23/11/2012 16:52:28] /m magebomb
[23/11/2012 16:52:31] /m magebomb
[23/11/2012 16:52:44] /m magebomb
[23/11/2012 16:52:44] /m magebomb
[23/11/2012 16:52:50] /r
[23/11/2012 17:13:14] /reload actions
[23/11/2012 17:21:46] /ghost
[23/11/2012 17:21:49] /down
[23/11/2012 17:22:13] /a
[23/11/2012 17:22:14] /r
[23/11/2012 17:34:31] /t
[23/11/2012 17:34:37] /m magebomb
[23/11/2012 17:34:38] /m magebomb
[23/11/2012 17:34:41] /r
[23/11/2012 17:34:56] /m magebomb
[23/11/2012 17:34:57] /m magebomb
[23/11/2012 17:51:50] /save
[23/11/2012 17:53:51] /ghost
[11/03/2013 14:23:43] /ghost
[11/03/2013 14:23:50] /a 3
[11/03/2013 14:24:26] /t
[11/03/2013 14:25:02] /a 10
[11/03/2013 14:25:03] /a 10
[11/03/2013 14:25:13] /t
[07/10/2014 19:36:58] /reload globalevents
[07/10/2014 19:39:04] /reload globalevents
[07/10/2014 19:47:41] /reload globalevents
[07/10/2014 19:48:07] /reload globalevents
[07/10/2014 20:07:00] /i master staff
[07/10/2014 20:07:04] /a 5
[07/10/2014 20:07:05] /a 5
[07/10/2014 20:07:06] /a 5
[07/10/2014 20:07:07] /a 5
[07/10/2014 20:07:08] /a 5
[07/10/2014 20:07:08] /a 5
[07/10/2014 20:07:09] /a 5
[07/10/2014 20:07:10] /a 5
[07/10/2014 20:07:11] /a 5
[07/10/2014 20:07:11] /a 5
[07/10/2014 20:07:12] /a 5
[07/10/2014 20:07:15] /a
[07/10/2014 20:12:53] /i Critical Skill
[07/10/2014 20:12:59] /i backpack
[07/10/2014 20:13:08] /i dodge skill
[07/10/2014 20:13:09] /ghost
[07/10/2014 20:14:53] /attr group 6
[07/10/2014 20:14:55] /r
[07/10/2014 20:16:00] /reload talkaction
[07/10/2014 20:16:03] /rename
[07/10/2014 20:16:11] /rename [GOD], ADM Ice Wars
