[26/06/2012 18:59:37] /clean
[26/06/2012 18:59:43] /i baiak helmet
[26/06/2012 18:59:45] /i baiak armor
[26/06/2012 18:59:47] /i baiak legs
[26/06/2012 18:59:50] /i baiak boots
[26/06/2012 18:59:57] /i boots of baiak
[26/06/2012 19:00:05] /i baiak shield
[26/06/2012 19:00:08] /i baiak sword
[26/06/2012 19:00:17] /i golden backpack
[26/06/2012 19:00:23] /i golden amulet
[26/06/2012 19:00:27] /i golden ring
[26/06/2012 19:00:32] /i ring
[26/06/2012 19:02:21] /r 100
[26/06/2012 19:02:21] /r 100
[26/06/2012 19:02:22] /r 100
[26/06/2012 19:02:22] /r 100
[26/06/2012 19:02:22] /r 100
[26/06/2012 19:02:22] /r 100
[26/06/2012 19:02:23] /r 100
[26/06/2012 19:02:23] /r 100
[26/06/2012 19:02:23] /r 100
[26/06/2012 19:02:23] /r 100
[26/06/2012 19:02:24] /r 100
[26/06/2012 19:02:24] /r 100
[26/06/2012 19:02:24] /r 100
[26/06/2012 19:02:24] /r 100
[26/06/2012 19:02:25] /r 100
[26/06/2012 19:02:25] /r 100
[26/06/2012 19:02:25] /r 100
[26/06/2012 19:02:25] /r 100
[26/06/2012 19:02:25] /r 100
[26/06/2012 19:02:27] /r 100
[26/06/2012 19:02:27] /r 100
[26/06/2012 19:02:27] /r 100
[26/06/2012 19:02:27] /r 100
[26/06/2012 19:02:27] /r 100
[26/06/2012 19:02:28] /r 100
[26/06/2012 19:02:28] /r 100
[26/06/2012 19:02:28] /r 100
[26/06/2012 19:02:28] /r 100
[26/06/2012 19:02:29] /r 100
[26/06/2012 19:02:29] /r 100
[26/06/2012 19:02:29] /r 100
[26/06/2012 19:02:29] /r 100
[26/06/2012 19:02:29] /r 100
[26/06/2012 19:02:29] /r 100
[26/06/2012 19:02:30] /r 100
[26/06/2012 19:02:30] /r 100
[26/06/2012 19:02:31] /r 100
[26/06/2012 19:02:31] /r 100
[26/06/2012 19:02:31] /r 100
[26/06/2012 19:02:31] /r 100
[26/06/2012 19:02:31] /r 100
[26/06/2012 19:02:32] /r 100
[26/06/2012 19:02:32] /r 100
[26/06/2012 19:02:32] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:33] /r 100
[26/06/2012 19:02:34] /r 100
[26/06/2012 19:02:34] /r 100
[26/06/2012 19:02:34] /r 100
[26/06/2012 19:02:34] /r 100
[26/06/2012 19:02:34] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:35] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:36] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:37] /r 100
[26/06/2012 19:02:38] /r 100
[26/06/2012 19:02:38] /r 100
[26/06/2012 19:02:38] /r 100
[26/06/2012 19:02:38] /r 100
[26/06/2012 19:02:38] /r 100
[26/06/2012 19:02:39] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:40] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:41] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:42] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:43] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:44] /r 100
[26/06/2012 19:02:45] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:46] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:47] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:48] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:49] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:50] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:51] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:52] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:53] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:54] /r 100
[26/06/2012 19:02:55] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:56] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:57] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:58] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:02:59] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:01] /r 100
[26/06/2012 19:03:02] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:03] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:04] /r 100
[26/06/2012 19:03:05] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:06] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:07] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:08] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:09] /r 100
[26/06/2012 19:03:11] /r 100
[26/06/2012 19:03:11] /r 100
[26/06/2012 19:03:11] /r 100
[26/06/2012 19:03:11] /r 100
[26/06/2012 19:03:11] /r 100
[26/06/2012 19:03:11] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:12] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:13] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:14] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:16] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:17] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:18] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:03:19] /r 100
[26/06/2012 19:07:04] /newtype 350
[26/06/2012 19:07:06] /newtype 354
[26/06/2012 19:07:08] /newtype 352
[26/06/2012 19:07:12] /newtype 342
[26/06/2012 19:07:14] /newtype 341
[26/06/2012 19:07:15] /newtype 344
[26/06/2012 19:07:17] /newtype 345
[26/06/2012 19:07:17] /newtype 345
[26/06/2012 19:07:19] /newtype 346
[26/06/2012 19:07:20] /newtype 347
[26/06/2012 19:07:21] /newtype 348
[26/06/2012 19:07:23] /newtype 349
[26/06/2012 19:08:16] /t
[26/06/2012 19:16:16] /newtype 349
[27/06/2012 21:59:16] /t
[27/06/2012 21:59:29] /r 100
[27/06/2012 21:59:30] /r 100
[27/06/2012 21:59:30] /r 100
[27/06/2012 21:59:30] /r 100
[27/06/2012 21:59:30] /r 100
[27/06/2012 21:59:31] /r 100
[27/06/2012 21:59:31] /r 100
[27/06/2012 21:59:31] /r 100
[27/06/2012 21:59:31] /r 100
[27/06/2012 21:59:31] /r 100
[27/06/2012 21:59:32] /r 100
[27/06/2012 21:59:32] /r 100
[27/06/2012 21:59:32] /r 100
[27/06/2012 21:59:32] /r 100
[27/06/2012 21:59:32] /r 100
[27/06/2012 21:59:32] /r 100
[27/06/2012 21:59:33] /r 100
[27/06/2012 21:59:33] /r 100
[27/06/2012 21:59:33] /r 100
[27/06/2012 21:59:33] /r 100
[27/06/2012 21:59:33] /r 100
[27/06/2012 21:59:34] /r 100
[27/06/2012 21:59:34] /r 100
[27/06/2012 21:59:34] /r 100
[27/06/2012 21:59:34] /r 100
[27/06/2012 21:59:34] /r 100
[27/06/2012 21:59:35] /r 100
[27/06/2012 21:59:35] /r 100
[27/06/2012 21:59:35] /r 100
[27/06/2012 21:59:35] /r 100
[27/06/2012 21:59:35] /r 100
[27/06/2012 21:59:35] /r 100
[27/06/2012 21:59:36] /r 100
[27/06/2012 21:59:36] /r 100
[27/06/2012 21:59:36] /r 100
[27/06/2012 21:59:36] /r 100
[27/06/2012 21:59:36] /r 100
[27/06/2012 21:59:37] /r 100
[27/06/2012 21:59:37] /r 100
[27/06/2012 21:59:37] /r 100
[27/06/2012 21:59:40] /owner mruilo
[27/06/2012 21:59:43] /owner murilo
[27/06/2012 21:59:49] /owner Cavalcanti[
[27/06/2012 21:59:50] /owner Cavalcanti
[27/06/2012 21:59:54] /owner nobody
[27/06/2012 21:59:56] /r 100
[27/06/2012 21:59:57] /r 100
[27/06/2012 21:59:57] /r 100
[27/06/2012 21:59:58] /r 100
[27/06/2012 21:59:59] /r 100
[27/06/2012 22:00:00] /r 100
[27/06/2012 22:00:00] /r 100
[27/06/2012 22:00:00] /r 100
[27/06/2012 22:00:00] /r 100
[27/06/2012 22:00:01] /r 100
[27/06/2012 22:00:01] /r 100
[27/06/2012 22:00:01] /r 100
[27/06/2012 22:00:02] /r 100
[27/06/2012 22:00:02] /r 100
[27/06/2012 22:00:03] /r 100
[27/06/2012 22:00:03] /r 100
[27/06/2012 22:00:03] /r 100
[27/06/2012 22:00:03] /r 100
[27/06/2012 22:00:04] /r 100
[27/06/2012 22:00:04] /r 100
[27/06/2012 22:00:04] /r 100
[27/06/2012 22:00:06] /r 100
[27/06/2012 22:00:06] /r 100
[27/06/2012 22:00:06] /r 100
[27/06/2012 22:00:06] /r 100
[27/06/2012 22:00:07] /r 100
[27/06/2012 22:00:07] /r 100
[27/06/2012 22:00:09] /r 100
[27/06/2012 22:00:09] /r 100
[27/06/2012 22:00:09] /r 100
[27/06/2012 22:00:09] /r 100
[27/06/2012 22:00:10] /r 100
[27/06/2012 22:00:10] /r 100
[27/06/2012 22:00:10] /r 100
[27/06/2012 22:00:11] /r 100
[27/06/2012 22:00:11] /r 100
[27/06/2012 22:00:12] /r 100
[27/06/2012 22:00:12] /r 100
[27/06/2012 22:00:13] /r 100
[27/06/2012 22:00:13] /r 100
[27/06/2012 22:00:13] /r 100
[27/06/2012 22:00:13] /r 100
[27/06/2012 22:00:14] /r 100
[27/06/2012 22:00:18] /r 100
[27/06/2012 22:00:19] /r 100
[27/06/2012 22:00:19] /r 100
[27/06/2012 22:00:20] /r 100
[27/06/2012 22:00:21] /r 100
[27/06/2012 22:00:22] /r 100
[27/06/2012 22:00:22] /r 100
[27/06/2012 22:00:22] /r 100
[27/06/2012 22:00:23] /r 100
[27/06/2012 22:00:23] /r 100
[27/06/2012 22:00:24] /r 100
[27/06/2012 22:00:26] /r 100
[27/06/2012 22:00:26] /r 100
[27/06/2012 22:00:27] /r 100
[27/06/2012 22:00:27] /r 100
[27/06/2012 22:00:27] /r 100
[27/06/2012 22:00:28] /r 100
[27/06/2012 22:00:29] /r 100
[27/06/2012 22:00:31] /save
[27/06/2012 22:03:55] /a
[27/06/2012 22:03:56] /a
[27/06/2012 22:04:20] /a 2
[29/06/2012 22:25:06] /a 2
[29/06/2012 22:25:37] /a 2
[29/06/2012 22:26:03] /t
[14/11/2012 13:30:43] /a 20
[14/11/2012 13:30:46] /a 7
[14/11/2012 13:30:52] /a 4
[14/11/2012 13:30:57] /a 4
[14/11/2012 13:31:05] /up
[14/11/2012 13:31:09] /a 3
[14/11/2012 13:31:18] /a 40
[14/11/2012 13:31:24] /a 2
[14/11/2012 13:33:23] /reload globalevents
[14/11/2012 13:34:39] /a 4
[14/11/2012 13:35:26] /t
[14/11/2012 13:35:38] /n arnold
[14/11/2012 14:08:24] /t
[14/11/2012 14:09:32] /t
[14/11/2012 14:25:46] /t
[14/11/2012 14:26:06] /t
[14/11/2012 14:34:14] /goto account manager
[14/11/2012 14:34:17] /t
[14/11/2012 14:34:36] /attr group 6
[14/11/2012 14:34:37] /attr group 6
[14/11/2012 14:34:38] /r
[14/11/2012 14:34:40] /r
[14/11/2012 14:35:03] /i 8058
[14/11/2012 14:35:13] /attr group 6
[14/11/2012 14:35:17] /r
[14/11/2012 14:37:19] /goto Lombard
[14/11/2012 14:37:48] /r
[14/11/2012 14:37:50] /r
[14/11/2012 14:38:33] /i 7959
[14/11/2012 14:38:42] /goto lombard
[14/11/2012 14:40:15] /i vip rod
[14/11/2012 14:43:33] /goto green
[14/11/2012 14:43:41] /goto lombard
[14/11/2012 14:43:50] /save
[14/11/2012 14:44:23] /t
[14/11/2012 15:03:49] /n vip trainer
[14/11/2012 15:03:55] /n vip treiner
[14/11/2012 15:04:12] /i ball rox
[14/11/2012 15:04:20] /i axe rox
[14/11/2012 15:04:24] /t
[14/11/2012 15:07:52] /i club rox
[14/11/2012 15:07:57] /i axe rox
[14/11/2012 15:11:15] /i attr set attack 33333
[14/11/2012 15:11:30] /attr set attack 33333
[14/11/2012 15:11:45] /attr set attack fire 44444
[14/11/2012 15:12:13] /addskill GOD Murilo ,sword,20000
[14/11/2012 15:12:20] /addskill GOD Murilo ,sword,20
[14/11/2012 15:12:21] /addskill GOD Murilo ,sword,20
[14/11/2012 15:12:22] /addskill GOD Murilo ,sword,20
